シリーズ名,定格電力 W,公称電圧 V,無負荷回転数 rpm,無負荷電流 mA,最大連続トルク時の回転数 rpm,最大連続トルク mNm,最大連続電流 A,停動トルク mNm,起動電流 A,最大効率 %,端子間抵抗 ohm,端子間インダクタンス mH,トルク定数 mNm/A,回転数定数 rpm/V,回転数／トルク勾配 rpm/mNm,機械的時定数 ms,ロータ慣性モーメント gcm?,永久磁石磁極ペア数,位相数,モータ質量g
EC-frameless,100,48,3970,187,3490,319,2.78,5010,43.8,88,1.1,0.864,114,83.4,0.798,10.4,1246,7,3,333
EC-frameless,70,24,6110,234,4860,128,3.21,1460,39.5,85.4,0.608,0.463,36.9,259,4.26,10.7,240,8,3,143
EC-frameless,70,30,6230,194,4990,112,2.36,1170,25.8,83.7,1.16,0.691,45.1,212,5.44,13.7,240,8,3,143
EC-frameless,70,36,6330,166,5080,108,1.93,1100,20.7,83.2,1.74,0.966,53.3,179,5.85,14.7,240,8,3,143
EC-frameless,70,48,3440,48.1,2540,134,0.936,915,6.97,84.3,6.89,5.85,131,72.7,3.82,9.6,240,8,3,143
EC-frameless,50,18,6720,247,5190,97.1,3.52,975,38.8,85,0.464,0.322,25.1,380,7.02,13.6,185,8,3,110
EC-frameless,50,24,6710,185,5240,83.4,2.33,780,23.3,83.3,1.03,0.572,33.5,285,8.77,17,185,8,3,110
EC-frameless,50,24,4730,106,3480,69.6,1.41,402,8.47,79.3,2.83,1.15,47.5,201,12,23.3,185,8,3,110
EC-frameless,50,36,3360,42.3,2360,90.5,0.828,484,4.81,82.4,7.48,5.15,101,95,7.07,13.7,185,8,3,110
EC-frameless,30,12,4360,163,2910,54.9,2.02,247,9.69,76.3,1.24,0.56,25.5,374,18.2,28.6,150,8,3,89
EC-frameless,30,18,4890,129,3510,57.8,1.63,295,8.61,77.5,2.09,0.697,34.3,278,17,30.8,150,8,3,89
EC-frameless,30,24,4360,81.4,2930,54.7,1.01,251,4.93,76.5,4.87,2.24,51,187,17.9,28.1,150,8,3,89
EC-frameless,30,36,4750,61.6,3290,66,0.847,378,5.35,80.1,6.73,4.29,70.6,135,12.9,20.2,150,8,3,89
